metric,direction,proposal_mean,proposal_std,proposal_last10,proposal_max,proposal_min,cac_mean,cac_std,cac_last10,cac_max,cac_min,diff_proposal_minus_cac,proposal_pct_vs_cac(positive=proposal better)
Navigation Reward (train),higher_is_better,-1489.8897686357063,228.46306697190784,-1756.3893123989633,-661.4055534072048,-1957.8589318372658,-1295.419725105851,393.14693415240976,-1357.6502269285825,-244.0060444095548,-1895.4107132701688,-194.47004352985527,-15.012126167367477
Navigation Reward (eval),higher_is_better,-1518.2182514624562,139.97321799548487,-1576.0904783350327,-1149.6546840991143,-1757.1786896902868,-1212.0301030259707,381.88360890539536,-918.9575573213251,-409.2324064763567,-1612.412850970139,-306.18814843648556,-25.26242109598203
Safety Reward (train),higher_is_better,-37.87657489538193,46.35672420081264,-2.896916890144348,0.0,-127.41689759492874,-31.1414402217865,43.23196448428878,-13.746844381093979,0.0,-125.26656621694565,-6.735134673595429,-21.62756322645457
Safety Reward (eval),higher_is_better,-38.384355696201325,35.436058625079106,-44.31134250938892,-0.40738163590431214,-111.7907971739769,-22.74619147205353,24.510246857395483,-28.715035381317136,-0.40738163590431214,-101.1996665596962,-15.638164224147797,-68.75069280657902
Violations,lower_is_better,68.836,74.67267976977926,6.8,199.0,0.0,56.116,69.88978855312126,36.2,199.0,0.0,12.719999999999999,-22.667331955235582
Runtime,lower_is_better,2589.1015293598175,nan,nan,2589.1015293598175,2589.1015293598175,20791.016503572464,nan,nan,20791.016503572464,20791.016503572464,-18201.914974212646,87.5470180646774
