run_id,total_violations,final10_nav_reward,final10_safe_reward,final_h_value,mean_h,mean_m_dir,mean_grad_dot,mean_stability_grad_norm,runtime_sec
1,6924,-157.094560651623,-4.66303973197937,0.20942620299756526,0.6312073833560944,-1.6578096536384455,-22.447333785185496,5.69705649472903,1027.4577543735504
2,9000,-172.5396016639789,-7.637187504768372,-0.34562059342861173,0.49304385314941407,0.16623745564793854,-36.802662571022026,7.6835101140485484,1171.7647807598114
3,20677,-443.6702994508829,-18.914886796474455,-1.8140103727579118,-0.12615068897724152,0.2191103555844482,-407.4165507963095,12.710360355887959,1147.9757359027863
4,10861,-786.3105756082439,-6.746802973747253,-0.7425979394465685,0.44432980975985525,0.3466934254917518,-93.96938758837112,10.521010706992394,1163.4074425697327
5,5401,-156.73682020969713,-4.8625793814659115,0.5908007957041264,0.7138463636434078,0.8007564642082837,-10.494223798490951,5.249014919416913,1154.3204526901245
6,11678,-268.1032852649586,-3.7217056334018705,-0.7782155763357878,0.4082361507606507,0.3013203466359971,-124.53175384041721,9.531538460819963,1154.4136898517609
7,21932,-714.8057272923982,-47.90092707872391,-1.6980825394392014,-0.10751653263330459,0.055803171064478164,-223.50887265371955,12.150876660059534,1124.791773557663
8,8506,-159.16513761327593,-6.315573841333389,-0.21805261112749577,0.5591408984208107,0.38379530135719825,-32.22981766382188,6.7321183675015694,1122.3921234607697
9,7955,-170.63445223502487,-4.336004781723022,-0.14275695532560348,0.5828403046834469,0.19253967696173624,-87.01788322795112,6.0343808199881135,1003.1552588939667
10,7959,-73.72975902704452,-3.306313455104828,-0.05795489102602005,0.5824080617880822,0.04491865860093381,-49.581964014991144,6.483453120990937,1307.9171278476715
11,8953,-827.273390918396,-8.714135521650315,-0.36366539169102907,0.5598117077112197,0.23069780661574987,-88.46011381401517,7.615885549650772,1728.4468185901642
12,5977,-813.1324449147489,-7.415612941980362,0.43423414826393125,0.6794266470766067,0.6646790119985693,-31.369504466609275,7.233773279201226,1711.5184757709503
13,6688,-125.47672508741968,-5.938948053121567,0.25788153912872075,0.6403831449568272,0.3559083978344548,-66.34542267469917,6.72370217470064,1260.784523010254
14,8543,-252.80819683252736,-3.542495971918106,-0.28352859523147345,0.5423759664261341,0.2467668907700159,-43.87289411268376,6.019459135516861,1279.5586686134338
15,11959,-711.857704389764,-9.040220558643341,-0.8464278176426887,0.38587091694355014,0.32381697830772455,-146.99546841512185,10.881040150041471,1223.8877532482147
16,8900,-826.1844666692803,-6.217000293731689,-0.2737455081194639,0.5462153567433358,0.2617999343905713,-57.781697079504504,6.159360044909587,1153.0442152023315
17,8246,-751.5984154003348,-14.573381960391998,-0.19812207631766796,0.544443001320362,0.34713966024288445,-73.15582901854799,8.270822554762475,1130.810467004776
